"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"1030045957","3d654105","0080e1150040c443","S22C004122DA","0.0","0.0","0.0","30","30","4000683807","-23.603881999999999","-46.519058100000002","0"
"1224032649","48f54189","0080e115000d801c","S22C004414DA","1.0","0.0","0.0","0","0","4000683471","-23.603881999999999","-46.519058100000002","3"
"4249175437","fd45458d","0080e115000d8a89","S22C003767DA","1.0","0.0","0.0","1","1","4000683451","-23.603990499999998","-46.519100899999998","1"
"1599227102","5f5244de","0080e1150504d1a1","S22C005407DA","1.0","0.0","0.0","0","0","4000683377","-23.603990499999998","-46.519100899999998","3"
"3018280915","b3e74fd3","0080e115005470fa","S22C005100DA","1.0","0.0","0.0","1","1","4000683751","-23.603881999999999","-46.519058100000002","1"
"1576683277","5dfa470d","0080e1150040ce79","S22C004962DA","1.0","0.0","0.0","1","1","4000683909","-23.603990499999998","-46.519100899999998","1"
"2062500240","7aef4190","0080e115051305b4","S22C003970DA","1.0","0.0","0.0","0","0","4000683458","-23.603881999999999","-46.519058100000002","3"
"901991455","35c34c1f","0080e115004f883c","S22C004437DA","1.0","0.0","0.0","1","1","4000683510","-23.603881999999999","-46.519058100000002","1"
"396052271","179b472f","0080e11505091678","S22C005105DA","1.0","0.0","0.0","0","0","4000683551","-23.603881999999999","-46.519058100000002","3"
"1501120095","5979465f","0080e1150054039d","S22C004198DA","0.0","0.0","0.0","30","30","4000683815","-23.603881999999999","-46.519058100000002","0"
"3051439150","b5e1442e","0080e115050986a4","S22C005525DA","1.0","0.0","0.0","0","0","4000683392","-23.603990499999998","-46.519100899999998","3"
"1726041579","66e14deb","0080e1150053b37f","S22C005589DA","1.0","0.0","0.0","1","1","4000683398","-23.603990499999998","-46.519100899999998","1"
"3030663201","b4a44021","0080e1150021684a","S22C005281DA","1.0","0.0","0.0","0","0","4000683419","-23.603990499999998","-46.519100899999998","3"
"1677411177","63fb4369","0080e1150040b244","S22C004703DA","1.0","0.0","0.0","1","1","4000683480","-23.603881999999999","-46.519058100000002","1"
"344735793","148c4031","0080e1150513004e","S22C003962DA","1.0","0.0","0.0","1","1","4000683481","-23.603881999999999","-46.519058100000002","1"
"1973503295","75a1453f","0080e11500504e1e","S22C005369DA","0.486979","0.0","0.0","9","3","4000683355","-23.603990499999998","-46.519100899999998","1"
"933184807","379f4527","0080e11500546a15","S22C004606DA","1.0","0.0","0.0","0","0","4000683855","-23.603990499999998","-46.519100899999998","3"
"2152350668","804a43cc","0080e11500546829","S22C004733DA","0.0","0.0","0.0","30","30","4000683816","-23.603881999999999","-46.519058100000002","0"
"2895987130","ac9d41ba","0080e115005401e3","S22C004183DA","1.0","0.0","0.0","1","1","4000683497","-23.603881999999999","-46.519058100000002","1"
"966935290","39a242fa","0080e1150040cd02","S22C005527DA","1.0","0.0","0.0","1","1","4000683447","-23.603990499999998","-46.519100899999998","1"
"3904128564","e8b44634","0080e1150040dea3","S22C003856DA","1.0","0.0","0.0","0","0","4000683759","-23.603881999999999","-46.519058100000002","3"
"2086883272","7c634fc8","0080e11500546c4a","S22C005023DA","0.980382","0.0","0.0","1","1","4000683489","-23.603881999999999","-46.519058100000002","1"
"1753565063","68854787","0080e1150040cb7f","S22C005308DA","1.0","0.0","0.0","1","1","4000683427","-23.603990499999998","-46.519100899999998","1"
"415580262","18c54066","0080e11505131f78","S22C004626DA","0.830729","0.0","0.0","6","5","4000683372","-23.603990499999998","-46.519100899999998","1"
"1727614445","66f94ded","0080e1150040ddf0","S22C004542DA","0.555729","0.0","0.0","6","3","4000683528","-23.603881999999999","-46.519058100000002","1"
"3845472836","e5354244","0080e11505098c00","S22C005581DA","1.0","0.0","0.0","0","0","4000683864","-23.603990499999998","-46.519100899999998","3"
"624314452","25364854","0080e1150053fdbe","S22C004178DA","1.0","0.0","0.0","0","0","4000683505","-23.603881999999999","-46.519058100000002","3"
"2815381376","a7cf4f80","0080e11500546041","S22C005496DA","1.0","0.0","0.0","1","1","4000683382","-23.603990499999998","-46.519100899999998","1"
"2398110613","8ef04395","0080e11500218037","S22C005057DA","1.0","0.0","0.0","0","0","4000683541","-23.603881999999999","-46.519058100000002","3"
"3539748731","d2fc477b","0080e1150040da05","S22C003851DA","0.991319","0.0","0.0","1","1","4000683750","-23.603881999999999","-46.519058100000002","1"
